"HSA Provider
(Click for more details)",State,Monthly Maintenance Fee,Investment Options
Tioga State Bank,NY,$2.50,
Tobacco Valley Teachers FCU,CT,$0.00,
Together Credit Union,MO,,
Torrington Savings Bank,CT,$0.00,
Town & Country Credit Union,ND,$0.00,
Travis Credit Union,CA,,
Tri City National Bank,WI,$4.00*,
Tropical Financial Credit Union,FL,$0.00,
TruCommunity Bank,ND,,MF
TRUE Community Credit Union,MI,$0.00,
Truity Credit Union,OK,$0.00,CD
TruPartner Credit Union,OH,,
Trustco Bank,NY,$0.00,
Trustmark National Bank,MS,$4.00*,
TruStone Financial,MN,$0.00,
Two Rivers Bank & Trust,IA,$0.00,
UFirst Credit Union,UT,$0.00,
Ultima Bank,MN,$2.08*,
UMB Bank,MO,$2.95*,MF Other
Umpqua Bank,OR,$3.00*,
Union Bank,VT,$0.00,
Union Bank (MI),MI,$2.08*,
Union Savings and Loan Association,IN,$0.00,
Union Savings Bank,CT,$3.00,
Union Savings Bank,IL,$0.00,
Union State Bank,KS,$2.50,
Unison Credit Union,WI,,
United Bank & Trust,IA,$2.00,
United Business Bank,CA,$1.67*,
United Community Bank,MN,,
United Community Bank,GA,,
United Community Bank,IA,$0.00,
United Federal Credit Union,MI,$0.00,
United Fidelity Bank,IN,$0.00,
United Prairie Bank,MN,,
Unitus Community Credit Union,OR,$2.50,
Unity Bank,MN,,
Universal 1 Credit Union,OH,$0.00,CD
USAlliance Federal Credit Union,NY,$0.00,
USU Credit Union,UT,,
UT Federal Credit Union,TN,$1.95*,
Utah First Federal Credit Union,UT,,
Uwharrie Bank,NC,$2.25*,
Valley Bank,MT,$0.00*,
Vantage Bank,MN,$0.00,
Veridian Credit Union,IA,$2.00,CD
Veritex Community Bank,TX,$0.00,
Vermont Federal Credit Union,VT,,
Virginia Credit Union,VA,,
Vision Financial Federal Credit Union,NC,,
VisionBank,MN,$0.00,CD
VisionBank of Iowa,IA,$5.00*,
Visions Federal Credit Union,NY,$0.00,
VyStar Credit Union,FL,,
Warren-Boynton State Bank,IL,,
Wasatch Peaks Credit Union,UT,,
Washington Savings Bank,IL,,
Washington State Bank,LA,$2.50,
Waterfall Bank,FL,$0.00,
WaterStone Bank,WI,,
WECU,WA,,
Wells River Savings Bank,VT,$0.00,
West Community Credit Union,MO,$0.00,
West Gate Bank,NE,$0.00,
West Michigan Community Bank,MI,,
West Plains Bank and Trust Company,MO,,
West Shore Bank,MI,$0.00,
WESTconsin Credit Union,WI,,CD
Western Security Bank,MT,$0.00,
Wildfire Credit Union,MI,,CD
Wilson Bank & Trust,TN,$0.00,
Windsor Federal Savings,CT,$2.00,
WNB Financial,MN,,
Woodsville Guaranty Savings Bank,NH,$0.00,
Wright-Patt Credit Union,OH,$0.00*,
Y-12 Federal Credit Union,TN,,
